,likes,likes,likes,likes,downloads,downloads,downloads,downloads,LyraxiZen/UGI-Leaderboard :: I/10 📚,LyraxiZen/UGI-Leaderboard :: I/10 📚,LyraxiZen/UGI-Leaderboard :: I/10 📚,LyraxiZen/UGI-Leaderboard :: I/10 📚,LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,LyraxiZen/UGI-Leaderboard :: Reg+Int 🏆,LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,LyraxiZen/UGI-Leaderboard :: Reg+MyScore 🏆,LyraxiZen/UGI-Leaderboard :: Writing,LyraxiZen/UGI-Leaderboard :: Writing,LyraxiZen/UGI-Leaderboard :: Writing,LyraxiZen/UGI-Leaderboard :: Writing,assets :: ARC,assets :: ARC,assets :: ARC,assets :: ARC,assets :: Average ⬆️,assets :: Average ⬆️,assets :: Average ⬆️,assets :: Average ⬆️,assets :: GSM8K,assets :: GSM8K,assets :: GSM8K,assets :: GSM8K,assets :: HellaSwag,assets :: HellaSwag,assets :: HellaSwag,assets :: HellaSwag,assets :: Hub ❤️,assets :: Hub ❤️,assets :: Hub ❤️,assets :: Hub ❤️,assets :: MMLU,assets :: MMLU,assets :: MMLU,assets :: MMLU,assets :: TruthfulQA,assets :: TruthfulQA,assets :: TruthfulQA,assets :: TruthfulQA,assets :: Winogrande,assets :: Winogrande,assets :: Winogrande,assets :: Winogrande,beepbeepbruh/UGI-Leaderboard :: I/10 💡,beepbeepbruh/UGI-Leaderboard :: I/10 💡,beepbeepbruh/UGI-Leaderboard :: I/10 💡,beepbeepbruh/UGI-Leaderboard :: I/10 💡,beepbeepbruh/UGI-Leaderboard :: Reg+Int 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+Int 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+Int 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+Int 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+MyScore 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+MyScore 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+MyScore 🏆,beepbeepbruh/UGI-Leaderboard :: Reg+MyScore 🏆,beepbeepbruh/UGI-Leaderboard :: UGI 🏆,beepbeepbruh/UGI-Leaderboard :: UGI 🏆,beepbeepbruh/UGI-Leaderboard :: UGI 🏆,beepbeepbruh/UGI-Leaderboard :: UGI 🏆,beepbeepbruh/UGI-Leaderboard :: Writing,beepbeepbruh/UGI-Leaderboard :: Writing,beepbeepbruh/UGI-Leaderboard :: Writing,beepbeepbruh/UGI-Leaderboard :: Writing,data :: Average,data :: Average,data :: Average,data :: Average,data :: Grounding ⚡️,data :: Grounding ⚡️,data :: Grounding ⚡️,data :: Grounding ⚡️,data :: Instruction Following 📝,data :: Instruction Following 📝,data :: Instruction Following 📝,data :: Instruction Following 📝,data :: Multilingual 🇬🇫,data :: Multilingual 🇬🇫,data :: Multilingual 🇬🇫,data :: Multilingual 🇬🇫,data :: Planning 📅,data :: Planning 📅,data :: Planning 📅,data :: Planning 📅,data :: Reasoning 💡,data :: Reasoning 💡,data :: Reasoning 💡,data :: Reasoning 💡,data :: Refinement 🔩,data :: Refinement 🔩,data :: Refinement 🔩,data :: Refinement 🔩,data :: Safety ⚠️,data :: Safety ⚠️,data :: Safety ⚠️,data :: Safety ⚠️,data :: Theory of Mind 🤔,data :: Theory of Mind 🤔,data :: Theory of Mind 🤔,data :: Theory of Mind 🤔,data :: Tool Usage 🛠️,data :: Tool Usage 🛠️,data :: Tool Usage 🛠️,data :: Tool Usage 🛠️,datasets :: ARC,datasets :: ARC,datasets :: ARC,datasets :: ARC,datasets :: Average,datasets :: Average,datasets :: Average,datasets :: Average,datasets :: GSM8K,datasets :: GSM8K,datasets :: GSM8K,datasets :: GSM8K,datasets :: HellaSwag,datasets :: HellaSwag,datasets :: HellaSwag,datasets :: HellaSwag,datasets :: MMLU,datasets :: MMLU,datasets :: MMLU,datasets :: MMLU,datasets :: TruthfulQA,datasets :: TruthfulQA,datasets :: TruthfulQA,datasets :: TruthfulQA,datasets :: Unnamed: 0,datasets :: Unnamed: 0,datasets :: Unnamed: 0,datasets :: Unnamed: 0,datasets :: Winogrande,datasets :: Winogrande,datasets :: Winogrande,datasets :: Winogrande,freddyaboulton/gradio_leaderboard :: ARC,freddyaboulton/gradio_leaderboard :: ARC,freddyaboulton/gradio_leaderboard :: ARC,freddyaboulton/gradio_leaderboard :: ARC,freddyaboulton/gradio_leaderboard :: Average ⬆️,freddyaboulton/gradio_leaderboard :: Average ⬆️,freddyaboulton/gradio_leaderboard :: Average ⬆️,freddyaboulton/gradio_leaderboard :: Average ⬆️,freddyaboulton/gradio_leaderboard :: GSM8K,freddyaboulton/gradio_leaderboard :: GSM8K,freddyaboulton/gradio_leaderboard :: GSM8K,freddyaboulton/gradio_leaderboard :: GSM8K,freddyaboulton/gradio_leaderboard :: HellaSwag,freddyaboulton/gradio_leaderboard :: HellaSwag,freddyaboulton/gradio_leaderboard :: HellaSwag,freddyaboulton/gradio_leaderboard :: HellaSwag,freddyaboulton/gradio_leaderboard :: Hub ❤️,freddyaboulton/gradio_leaderboard :: Hub ❤️,freddyaboulton/gradio_leaderboard :: Hub ❤️,freddyaboulton/gradio_leaderboard :: Hub ❤️,freddyaboulton/gradio_leaderboard :: MMLU,freddyaboulton/gradio_leaderboard :: MMLU,freddyaboulton/gradio_leaderboard :: MMLU,freddyaboulton/gradio_leaderboard :: MMLU,freddyaboulton/gradio_leaderboard :: TruthfulQA,freddyaboulton/gradio_leaderboard :: TruthfulQA,freddyaboulton/gradio_leaderboard :: TruthfulQA,freddyaboulton/gradio_leaderboard :: TruthfulQA,freddyaboulton/gradio_leaderboard :: Winogrande,freddyaboulton/gradio_leaderboard :: Winogrande,freddyaboulton/gradio_leaderboard :: Winogrande,freddyaboulton/gradio_leaderboard :: Winogrande,freddyaboulton/gradio_leaderboard_demo :: ARC,freddyaboulton/gradio_leaderboard_demo :: ARC,freddyaboulton/gradio_leaderboard_demo :: ARC,freddyaboulton/gradio_leaderboard_demo :: ARC,freddyaboulton/gradio_leaderboard_demo :: Average ⬆️,freddyaboulton/gradio_leaderboard_demo :: Average ⬆️,freddyaboulton/gradio_leaderboard_demo :: Average ⬆️,freddyaboulton/gradio_leaderboard_demo :: Average ⬆️,freddyaboulton/gradio_leaderboard_demo :: GSM8K,freddyaboulton/gradio_leaderboard_demo :: GSM8K,freddyaboulton/gradio_leaderboard_demo :: GSM8K,freddyaboulton/gradio_leaderboard_demo :: GSM8K,freddyaboulton/gradio_leaderboard_demo :: HellaSwag,freddyaboulton/gradio_leaderboard_demo :: HellaSwag,freddyaboulton/gradio_leaderboard_demo :: HellaSwag,freddyaboulton/gradio_leaderboard_demo :: HellaSwag,freddyaboulton/gradio_leaderboard_demo :: Hub ❤️,freddyaboulton/gradio_leaderboard_demo :: Hub ❤️,freddyaboulton/gradio_leaderboard_demo :: Hub ❤️,freddyaboulton/gradio_leaderboard_demo :: Hub ❤️,freddyaboulton/gradio_leaderboard_demo :: MMLU,freddyaboulton/gradio_leaderboard_demo :: MMLU,freddyaboulton/gradio_leaderboard_demo :: MMLU,freddyaboulton/gradio_leaderboard_demo :: MMLU,freddyaboulton/gradio_leaderboard_demo :: TruthfulQA,freddyaboulton/gradio_leaderboard_demo :: TruthfulQA,freddyaboulton/gradio_leaderboard_demo :: TruthfulQA,freddyaboulton/gradio_leaderboard_demo :: TruthfulQA,freddyaboulton/gradio_leaderboard_demo :: Winogrande,freddyaboulton/gradio_leaderboard_demo :: Winogrande,freddyaboulton/gradio_leaderboard_demo :: Winogrande,freddyaboulton/gradio_leaderboard_demo :: Winogrande,version number,version number,version number,version number,UGI-Leaderboard :: Active Parameters,UGI-Leaderboard :: Active Parameters,UGI-Leaderboard :: Active Parameters,UGI-Leaderboard :: Active Parameters,UGI-Leaderboard :: Coding 💻,UGI-Leaderboard :: Coding 💻,UGI-Leaderboard :: Coding 💻,UGI-Leaderboard :: Coding 💻,UGI-Leaderboard :: Internet,UGI-Leaderboard :: Internet,UGI-Leaderboard :: Internet,UGI-Leaderboard :: Internet,UGI-Leaderboard :: NatInt 💡,UGI-Leaderboard :: NatInt 💡,UGI-Leaderboard :: NatInt 💡,UGI-Leaderboard :: NatInt 💡,UGI-Leaderboard :: Societal/Political,UGI-Leaderboard :: Societal/Political,UGI-Leaderboard :: Societal/Political,UGI-Leaderboard :: Societal/Political,UGI-Leaderboard :: Total Parameters,UGI-Leaderboard :: Total Parameters,UGI-Leaderboard :: Total Parameters,UGI-Leaderboard :: Total Parameters,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: UGI 🏆,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: Unruly,UGI-Leaderboard :: W/10 👍,UGI-Leaderboard :: W/10 👍,UGI-Leaderboard :: W/10 👍,UGI-Leaderboard :: W/10 👍,UGI-Leaderboard :: W/10-Adherence,UGI-Leaderboard :: W/10-Adherence,UGI-Leaderboard :: W/10-Adherence,UGI-Leaderboard :: W/10-Adherence,UGI-Leaderboard :: W/10-Direct,UGI-Leaderboard :: W/10-Direct,UGI-Leaderboard :: W/10-Direct,UGI-Leaderboard :: W/10-Direct,UGI-Leaderboard :: ASSS⬇️,UGI-Leaderboard :: ASSS⬇️,UGI-Leaderboard :: ASSS⬇️,UGI-Leaderboard :: ASSS⬇️,UGI-Leaderboard :: Cor,UGI-Leaderboard :: Cor,UGI-Leaderboard :: Cor,UGI-Leaderboard :: Cor,UGI-Leaderboard :: Dif,UGI-Leaderboard :: Dif,UGI-Leaderboard :: Dif,UGI-Leaderboard :: Dif,UGI-Leaderboard :: Foundation,UGI-Leaderboard :: Foundation,UGI-Leaderboard :: Foundation,UGI-Leaderboard :: Foundation,UGI-Leaderboard :: MyScore 🏆,UGI-Leaderboard :: MyScore 🏆,UGI-Leaderboard :: MyScore 🏆,UGI-Leaderboard :: MyScore 🏆,UGI-Leaderboard :: PolContro,UGI-Leaderboard :: PolContro,UGI-Leaderboard :: PolContro,UGI-Leaderboard :: PolContro,UGI-Leaderboard :: SMOG⬆️,UGI-Leaderboard :: SMOG⬆️,UGI-Leaderboard :: SMOG⬆️,UGI-Leaderboard :: SMOG⬆️,UGI-Leaderboard :: Score 🏆,UGI-Leaderboard :: Score 🏆,UGI-Leaderboard :: Score 🏆,UGI-Leaderboard :: Score 🏆,UGI-Leaderboard :: Stats,UGI-Leaderboard :: Stats,UGI-Leaderboard :: Stats,UGI-Leaderboard :: Stats,UGI-Leaderboard :: Std,UGI-Leaderboard :: Std,UGI-Leaderboard :: Std,UGI-Leaderboard :: Std,UGI-Leaderboard :: Yule⬇️,UGI-Leaderboard :: Yule⬇️,UGI-Leaderboard :: Yule⬇️,UGI-Leaderboard :: Yule⬇️,created_at_numeric,created_at_numeric,created_at_numeric,created_at_numeric,pipeline tag_question-answering,pipeline tag_question-answering,pipeline tag_question-answering,pipeline tag_question-answering,pipeline tag_text-classification,pipeline tag_text-classification,pipeline tag_text-classification,pipeline tag_text-classification,pipeline tag_text-generation,pipeline tag_text-generation,pipeline tag_text-generation,pipeline tag_text-generation,pipeline tag_nan,pipeline tag_nan,pipeline tag_nan,pipeline tag_nan,architectural type_codegen,architectural type_codegen,architectural type_codegen,architectural type_codegen,architectural type_deepseek_v2,architectural type_deepseek_v2,architectural type_deepseek_v2,architectural type_deepseek_v2,architectural type_gemma,architectural type_gemma,architectural type_gemma,architectural type_gemma,architectural type_gpt2,architectural type_gpt2,architectural type_gpt2,architectural type_gpt2,architectural type_gpt_bigcode,architectural type_gpt_bigcode,architectural type_gpt_bigcode,architectural type_gpt_bigcode,architectural type_llama,architectural type_llama,architectural type_llama,architectural type_llama,architectural type_mistral,architectural type_mistral,architectural type_mistral,architectural type_mistral,architectural type_mixtral,architectural type_mixtral,architectural type_mixtral,architectural type_mixtral,architectural type_qwen2,architectural type_qwen2,architectural type_qwen2,architectural type_qwen2,architectural type_stablelm,architectural type_stablelm,architectural type_stablelm,architectural type_stablelm,architectural type_nan,architectural type_nan,architectural type_nan,architectural type_nan,real architecture_CodeGenForCausalLM,real architecture_CodeGenForCausalLM,real architecture_CodeGenForCausalLM,real architecture_CodeGenForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_DeepseekV2ForCausalLM,real architecture_GPT2LMHeadModel,real architecture_GPT2LMHeadModel,real architecture_GPT2LMHeadModel,real architecture_GPT2LMHeadModel,real architecture_GPTBigCodeForCausalLM,real architecture_GPTBigCodeForCausalLM,real architecture_GPTBigCodeForCausalLM,real architecture_GPTBigCodeForCausalLM,real architecture_GemmaForCausalLM,real architecture_GemmaForCausalLM,real architecture_GemmaForCausalLM,real architecture_GemmaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForCausalLM,real architecture_LlamaForSequenceClassification,real architecture_LlamaForSequenceClassification,real architecture_LlamaForSequenceClassification,real architecture_LlamaForSequenceClassification,real architecture_MistralForCausalLM,real architecture_MistralForCausalLM,real architecture_MistralForCausalLM,real architecture_MistralForCausalLM,real architecture_MixtralForCausalLM,real architecture_MixtralForCausalLM,real architecture_MixtralForCausalLM,real architecture_MixtralForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_Qwen2ForCausalLM,real architecture_StableLmForCausalLM,real architecture_StableLmForCausalLM,real architecture_StableLmForCausalLM,real architecture_StableLmForCausalLM,real architecture_nan,real architecture_nan,real architecture_nan,real architecture_nan,parameters_0.5B,parameters_0.5B,parameters_0.5B,parameters_0.5B,parameters_1.1B,parameters_1.1B,parameters_1.1B,parameters_1.1B,parameters_1.3B,parameters_1.3B,parameters_1.3B,parameters_1.3B,parameters_10.2B,parameters_10.2B,parameters_10.2B,parameters_10.2B,parameters_10.7B,parameters_10.7B,parameters_10.7B,parameters_10.7B,parameters_13B,parameters_13B,parameters_13B,parameters_13B,parameters_14B,parameters_14B,parameters_14B,parameters_14B,parameters_16B,parameters_16B,parameters_16B,parameters_16B,parameters_22B,parameters_22B,parameters_22B,parameters_22B,parameters_24B,parameters_24B,parameters_24B,parameters_24B,parameters_2B,parameters_2B,parameters_2B,parameters_2B,parameters_2X7B,parameters_2X7B,parameters_2X7B,parameters_2X7B,parameters_32B,parameters_32B,parameters_32B,parameters_32B,parameters_33B,parameters_33B,parameters_33B,parameters_33B,parameters_34B,parameters_34B,parameters_34B,parameters_34B,parameters_3B,parameters_3B,parameters_3B,parameters_3B,parameters_3X7B,parameters_3X7B,parameters_3X7B,parameters_3X7B,parameters_4B,parameters_4B,parameters_4B,parameters_4B,parameters_4X7B,parameters_4X7B,parameters_4X7B,parameters_4X7B,parameters_6.7B,parameters_6.7B,parameters_6.7B,parameters_6.7B,parameters_60B,parameters_60B,parameters_60B,parameters_60B,parameters_6B,parameters_6B,parameters_6B,parameters_6B,parameters_70B,parameters_70B,parameters_70B,parameters_70B,parameters_7B,parameters_7B,parameters_7B,parameters_7B,parameters_8B,parameters_8B,parameters_8B,parameters_8B,parameters_9B,parameters_9B,parameters_9B,parameters_9B,parameters_nan,parameters_nan,parameters_nan,parameters_nan,is instruct/chat_False,is instruct/chat_False,is instruct/chat_False,is instruct/chat_False,is instruct/chat_True,is instruct/chat_True,is instruct/chat_True,is instruct/chat_True,is instruct/chat_<NA>,is instruct/chat_<NA>,is instruct/chat_<NA>,is instruct/chat_<NA>,version_v0.1,version_v0.1,version_v0.1,version_v0.1,version_v1,version_v1,version_v1,version_v1,version_v1.0,version_v1.0,version_v1.0,version_v1.0,version_v1.3,version_v1.3,version_v1.3,version_v1.3,version_v1.5,version_v1.5,version_v1.5,version_v1.5,version_v1.9,version_v1.9,version_v1.9,version_v1.9,version_v10,version_v10,version_v10,version_v10,version_v11.1,version_v11.1,version_v11.1,version_v11.1,version_v12,version_v12,version_v12,version_v12,version_v13,version_v13,version_v13,version_v13,version_v14,version_v14,version_v14,version_v14,version_v2,version_v2,version_v2,version_v2,version_v2.0,version_v2.0,version_v2.0,version_v2.0,version_v3,version_v3,version_v3,version_v3,version_v3.5,version_v3.5,version_v3.5,version_v3.5,version_v4,version_v4,version_v4,version_v4,version_v5,version_v5,version_v5,version_v5,version_v6.1,version_v6.1,version_v6.1,version_v6.1,version_nan,version_nan,version_nan,version_nan
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
consensus_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,466.0,59.0,738.098231944773,3,2970.0,231.0,4831.81963653446,3,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.4325938566552901,0.4325938566552901,,1,0.4483836718796732,0.4483836718796732,,1,0.1076573161485974,0.1076573161485974,,1,0.6387173869747063,0.6387173869747063,,1,0.3428563918194793,0.3428563918194793,,1,0.4897083346128792,0.4897083346128792,,1,1336.0,1336.0,,1,0.6787687450670876,0.6787687450670876,,1,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.1,0.1,,1,23.0,23.0,1.4142135623730951,2,23.0,23.0,1.4142135623730951,2,2.1500000000000004,2.1500000000000004,0.7778174593052025,2,22.02,22.02,9.178246019801387,2,2.4,2.4,1.2727922061357855,2,23.0,23.0,1.4142135623730951,2,30.13,30.13,10.748023074035519,2,2.75,2.75,2.0506096654409878,2,7.5,7.5,1.4142135623730951,2,9.0,9.0,1.4142135623730951,2,6.0,6.0,1.4142135623730951,2,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1720173689.3333333,1716982130.0,28958254.8486584,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.6666666666666666,1.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.6666666666666666,1.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.6666666666666666,1.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.3333333333333333,0.0,0.5773502691896258,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.6666666666666666,1.0,0.5773502691896258,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.3333333333333333,0.0,0.5773502691896258,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.6666666666666666,1.0,0.5773502691896258,3
