index_in_cleaned_data,anomaly_score
12,-0.46430846279390214
0,-0.45665651547634384
3,-0.43677989958562347
5,-0.4330289035776558
136,-0.43162525904163324
67,-0.4303390274896139
93,-0.42948865751738063
1,-0.4232647274229547
36,-0.42156347787299
47,-0.4210767149814314
30,-0.41288277855568906
13,-0.4073080291304076
114,-0.4072439694734454
10,-0.40599524752329585
