index_in_cleaned_data,lof_score
67,4.743068003290466
0,4.25333455556314
36,4.064702938603628
59,3.9033039704688712
25,3.8417688198430633
8,3.4835458552892127
115,3.333451270017561
5,3.2920691667369084
108,3.0554677987041052
106,3.026350381757344
109,3.024174870393506
111,3.017833863297029
13,2.9940390767031357
65,2.8465955689232514
