team,generated_s_00,pristine_s_01,generated_accuracy,pristine_accuracy,balanced_accuracy,total_time,fail_rate
viper-purdue,1.0,1.0,1.0,1.0,1.0,24.746002435684204,0.0
safe-challenge,1.0,1.0,1.0,1.0,1.0,23.063862800598145,0.0
ISPL,1.0,1.0,1.0,1.0,1.0,0.46638035774230735,0.0
JAIST-HIS,0.7037037037037037,1.0,0.7037037037037037,1.0,0.8518518518518519,0.7960224151611309,0.0
csun22,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7777777777777778,1.0693502426147439,0.0
woozy1,0.48148148148148145,0.7619047619047619,0.48148148148148145,0.7619047619047619,0.6216931216931216,1.35313820838928,0.0
Qiao's Group,0.14814814814814814,1.0,0.14814814814814814,1.0,0.5740740740740741,0.8934087753295875,0.0
gylin,0.07407407407407407,1.0,0.07407407407407407,1.0,0.537037037037037,0.2605631351470922,0.0
violangg,0.48148148148148145,0.47619047619047616,0.48148148148148145,0.47619047619047616,0.47883597883597884,1.2470662593841526,0.0
ISSF,0.2222222222222222,0.6190476190476191,0.2222222222222222,0.6190476190476191,0.42063492063492064,0.7946302890777565,0.0
Anon_Peking,0.0,0.0,0.0,0.0,0.0,-1,1.0
