year,category,count
2021,math.CA,906
2021,math.CO,3433
2021,math.CT,328
2021,math.CV,646
2021,math.DG,1665
2021,math.DS,1598
2021,math.FA,1349
2021,math.GM,316
2021,math.GN,207
2021,math.GR,904
2021,math.GT,886
2021,math.HO,195
2021,math.KT,125
2021,math.LO,696
2021,math.MG,437
2021,math.NA,2963
2021,math.NT,2373
2021,math.OA,365
2021,math.OC,3237
2021,math.PR,2564
2021,math.QA,335
2021,math.RA,638
2021,math.RT,937
2021,math.SG,256
2021,math.SP,227
2021,math.ST,1046
2021,nlin.AO,167
2021,nlin.CD,172
2021,nlin.CG,16
2021,nlin.PS,233
2021,nlin.SI,216
2021,nucl-ex,420
2021,nucl-th,1139
2021,physics.acc-ph,337
2021,physics.ao-ph,307
2021,physics.app-ph,1231
2021,physics.atm-clus,39
2021,physics.atom-ph,653
2021,physics.bio-ph,433
2021,physics.chem-ph,991
2021,physics.class-ph,289
2021,physics.comp-ph,622
2021,physics.data-an,172
2021,physics.ed-ph,207
2021,physics.flu-dyn,1861
2021,physics.gen-ph,342
2021,physics.geo-ph,333
2021,physics.hist-ph,207
2021,physics.ins-det,1048
2021,physics.med-ph,531
2021,physics.optics,2373
2021,physics.plasm-ph,871
2021,physics.pop-ph,101
2021,physics.soc-ph,914
2021,physics.space-ph,155
2021,q-bio.BM,161
2021,q-bio.CB,55
2021,q-bio.GN,125
2021,q-bio.MN,119
2021,q-bio.NC,492
2021,q-bio.OT,63
2021,q-bio.PE,596
2021,q-bio.QM,429
2021,q-bio.SC,28
2021,q-bio.TO,115
2021,q-fin.CP,107
2021,q-fin.EC,5
2021,q-fin.GN,87
2021,q-fin.MF,169
2021,q-fin.PM,86
2021,q-fin.PR,64
2021,q-fin.RM,119
2021,q-fin.ST,199
2021,q-fin.TR,88
2021,quant-ph,7080
2021,stat.AP,891
2021,stat.CO,319
2021,stat.ME,2097
2021,stat.ML,1698
2021,stat.OT,44
2022,astro-ph,5
2022,astro-ph.CO,2057
2022,astro-ph.EP,1829
2022,astro-ph.GA,3773
2022,astro-ph.HE,2803
2022,astro-ph.IM,1416
2022,astro-ph.SR,2568
2022,cond-mat.dis-nn,468
2022,cond-mat.mes-hall,3165
2022,cond-mat.mtrl-sci,4230
2022,cond-mat.other,117
2022,cond-mat.quant-gas,812
2022,cond-mat.soft,1643
