author,models,datasets,spaces
SoroushVT,1519,754911029,0
ChihChiu29,0,0,5588
gavrenkov,10966125604,63046410,0
berkaysahiin,438922203,0,5679
SharkGaming,5445319,0,5434
AlphaGPT,0,0,46905
4ndr3w,359369825,16406,0
ArtyomSubDiv1998,17232063006,0,0
dhanushreddy29,74726115708,13422114,255446308
steerapi,323907127284,0,0
Vinayakagude,3038,57305122,0
sparswan,0,0,41723
sorenmulli,81307543126,353537,0
Viswa934746,0,0,343572
sujeet21,0,0,0
dillonlaird,69503594703,0,41258212
nikitothkakad,0,0,3619
tang155,0,0,1510989
therealcyberlord,2295504784,0,169363705
fathyshalaby,268829712,45110584,54817
wvle,0,0,221525711
TuanScientist,1545,0,847198
AnnonSubmission,0,0,2063162475
SilvusTV,0,0,6219
Percent-BFD,1873533470,266848342,0
RIOLITE,3359462395,0,0
ashwinperti,268847812,497156,0
KeithEdwardReynolds,13567207,157108941,0
anavarrete,14177543442,0,0
manishiitg,90777296496,28872201162,0
HCMUT-GraduateThesis-HNTThinh,0,0,7572754957
mirari,2901497826,154096214,511895096
Chris0902,189033992,0,0
wa976,15144148909,0,0
liwii,4742805063,0,0
VuDucQuang,99285145556,0,0
Atulit23,55400708427,0,11006330783
Froleptan,0,0,2603595
ro-h,0,1550464,0
massi,0,24250724,4610
mhmd-mstf,0,1803535272,0
liaaron1,30783859165,178040,0
jcrich,56450827245,0,0
Wagnerra,0,0,7076
mtheo,887517339,0,0
KaraKaraWitch,100822614560,149376213193,0
wang2246478872,0,0,7664
BahAdoR0101,14357347353,12035,0
heiyuan,0,0,814147
akashgoel-id,13743904395,0,0
lysandre,32651235036,62855,18903
Feifei315,0,0,10924
itslogannye,343272251,1678398389,0
anisharitakula,1477,0,1734767594
ManDag004,0,0,117793966
Kevin8093,301222438,0,0
adakoda,529165236,0,0
Yeyito,0,0,14478162
Hansollll,2124135277,478477971,0
kiran957,0,178379,0
Ezi,9351,18782921,961019233
gautamsabba,80868963738,3007742,0
cfilt,6442288369,3202807573,0
Flavie,5561847216,0,0
uw-madison,3296167736,0,0
SjoerdTeunisse,0,0,3668509
vslasor,0,0,5024499
TrainThenObtain-ai,16460614,144836,0
allberto,0,0,3586
NYTK,87355273170,232015785,0
mullikine,0,0,438330
Intuit-GenSRF,0,6140971154,0
lukasz-staniszewski,528933292,0,0
tempertrash,23512691,71121946,0
Corran,12291756044,82498002053,30627
kuladeep2112,4353870138,2307,0
gaodrew,210041710116,1279407725,10718970
kai0226,49228887,0,5999
fierysurf,55071235658,0,0
1yukikaze,0,0,65360469
emreakdogan,245331136,934589,0
hetpandya,2272106817,0,0
Norway,1747,2430,1816
ubamba98,5112769917,238412,60866452
francojc,0,0,4989
garrett361,0,20909,0
AlexZigma,1036902819,9392443986,0
gwyong,0,2265,0
RIW,0,26379202144,0
jafetsierra,5668963860,0,0
yiwangshangxian,0,0,1930946708
milkshakeiii,31385658676,0,0
erniechiew,895076800,0,0
Rizwan125,0,51147625,0
EMS-TU-Ilmenau,0,0,705881
Sanjay07,23150441925,2100454,0
abhishars,0,20179188,0
Dev2410,48706799852,31846,0
subwayman,0,0,5751016
miladfa7,8605185570,6546801534,0
dhrubasumatary,9748318474,0,0
davidmasip,525394679,0,606730941
bguberfain,0,0,5926560
eetn,0,0,10825
Laughify,38079814738,0,5881
veronica320,16014485996,0,0
asier86,532867575,1141393,0
LENMON,0,0,3118
danielheinz,1134354856,76131956,0
suyashhchougule,1594407841,1190234166,0
webis-huggingface-workshop,0,0,9315
yugan,0,0,6691
RomeroRZ,21437537479,0,0
optigesr,1477,0,463908812
amirfafa,1477,1523452,2626
rodrigomasini,0,0,132709769
numind,7486081932,865502557,0
IbuNai,829090830757,0,0
christhegamechanger,0,0,397882000
biunlp,3571626207,63281335,0
ekazuki,2493599458,1091451316,0
FrankZxShen,474890010,0,5083423644
huggingFaceUser02,0,8157,0
augmented-surveys,0,0,13943060
aaronstaclara,0,0,73025493
redpeacock78,18948711649,0,11821
Alven,0,0,6691
IAMTFRMZA,0,0,88781912
ethux,16416894995,16074328,0
scholarly-shadows-syndicate,6944876701,591803463,0
diagaiwei,2346,0,1519989178
kevinhug,0,0,266314703
krandiash,7207641321,2607919221,21426
maj34,0,0,166084109
torileatherman,968892860,1041413,22594
kimcando,7633793211,891207,0
allknowingroger,0,0,349101033
rafharutyunyan,984036031,0,0
Stonekraken,806367956,0,0
taeminlee,54107548462,1328754647,0
entropy,996386671,0,0
Nikolajvestergaard,152897541,0,0
ragha108,0,0,42497
Nilaier,10643449970,0,0
hush1,0,0,65206458
AlexxxDiazG,0,252295,0
laurencer,601639879470,418276235,0
BoDai,0,2247356261400,0
Cognitive-Lab,50339245563,0,0
sebinsaji123,1540,231341,1849
Rubenobikthereal,0,2265,0
dsvv-cair,175388048470,0,0
EagleLoveAI,0,0,60563
Virus-Proton,1468709053,0,0
ashokpoudel,1434,3079196969,15718
shjwudp,1240291656,26075128510,5706
Venkatesh4342,17263660665,107541852,0
azizbarank,3009642444,0,465209
pancake,0,27537248109,0
polejowska,15325682648,172838236081,43220279
Kotinagendla,0,0,18548
Avinier,83947517,502439,0
pasinit,0,75692,0
daswer123,41557753855,6089211,0
swcrazyfan,108806475675,9072392,14185
soonbody,0,0,5489
d3finit,0,0,4454
Sang-Bin,17332592854,0,0
Straits,0,0,40511938
anonICPC,511683799,0,498977912
Sefika,3474200,430158795,0
breathingcyborg,0,0,30275679
tmabraham,776339237,360983384537,103172783
tomh,8528247412,77662815,0
LDCC,133990014481,0,0
touchtech,18306984551,0,0
Mojobones,0,0,1551085159
bubbletea98,0,0,8706
Rostlab,190782446497,5057218924,0
randstad-legacy,0,0,96022
mshah1,0,138709232607,0
AKxy4321,1519,0,5327
ambushburn,0,130552106,0
Evolett,119955367,0,0
cynthiachan,7265881893,7646426,0
willwade,245241813,18183,1978
abbasgolestani,3727807428,0,0
model-attribution-challenge,69256994078,0,0
peperon,16911689619,2764558537,0
jahanking,9801826909,0,0
joujiboi,37268400406,6304657538,0
Catspindev,3038,0,16218
82magnolia,0,631538859435,0
lavanyakumaran31,0,0,6107235
DaweiYang,0,53835680,0
acctouhou,224315289661,0,0
Kazel,0,1762900,5415
BBrother,0,3717106556,28353840
abhishek2153,26124086806,0,0
muttalib1326,34755754,0,26456240
azaninello,2451594626,0,7538491
harkov000,0,0,169074
OkamiFeng,0,0,21439227
alnrg2arg,456164953019,0,0
khellific,0,272511968,0
wgolding,1201,1594,0
estesoyyo11,0,122828123,0
Devound,0,0,9140
hack46,0,0,664781
arunps,378389149,0,364610977
reinforz,4023373413,33133909,0
longcule123,80062997108,0,0
jaradat,0,82973415,0
jammss,0,0,1371439
wangjun,12261851961,0,4337
vivien,0,0,950079661
Labbeti,204143969,0,9892
gorkemsevinc,0,216073363,0
owenchak,0,0,2048
smorrin,0,0,47673080
oemd001,0,3986666,0
jubba,13493780022,1764766170,0
wbensvage,0,291294075,0
thakurvishesh1,0,33324,0
anforsm,1019054094,48736558726,671356005
nenkoru,326821662498,0,0
fuyulinh04,244620133,16676838,0
aymenmt,2516973725,0,1885
atmallen,486502014050,23852860925,0
dcfidalgo,190604203,213720,0
Phasmanta,0,0,79755
jyshbgde,0,54587801,45748290
nnethery,0,0,171970025
DemangeJeremy,1493029377,2265,0
FSDL-Fashion,0,441319089,917576
c01dsnap,0,8440175109,0
seank0602,118874983605,153703867,0
takashi22,2132627370,2265,0
HenryAI,592699033,6931343,0
guidobenb,0,115759511,1771
OedoSoldier,16396521256,0,10893
shivambhosale,2515040,0,124157404
AlekseyScorpi,0,2423306704,0
inria-soda,0,1595663521,0
LiteCoder,0,1649792351,0
anvelezec,0,1945,0
zachary24,0,11100784211,0
qtoino,0,4015,41649
Yerson2277,4557,485467,0
songwy,0,0,936034280
prk,499693825,11680,0
HaoranWei,4477626017,0,0
heack,4668040872,0,0
ntheodora,42011191167,0,0
lm468,0,130195949,0
eugenetanjc,2266373933,7333416247,0
Vidyuth,13051373853,602651005,174036716
Gumibit,7935644971,0,0
RAIJAY,628517364,0,0
YONG627,0,0,692394067
sihanxu,0,108194553,0
schdoel,742946686,47169414,0
daveckw,0,0,5685235
tartuNLP,156636995869,89336107,10827462
ronig,693498467,277473592,19737
1by0ai,0,0,11934
hflserdaniel,709690185489,0,0
Realcat,3248401978,0,3709361671
siying-liu,0,0,2147
jositonaranja,0,0,7835
gulabpatel,444911312,0,844343691
aismlv,6310112412,0,0
nsoma,0,0,2210
genjib,0,120352237946,0
SakuraLLM,447263579088,0,0
vukpetar,475115065,0,0
manjuvallayil,0,0,2493820
ed001,34903565442,86588088,0
controltensor,362143907351,0,0
usoda,227255640238,6141104126,0
ZhiweiXie,0,926838,0
Vanimal0221,0,8301879,0
BioDEX,3135626390,2777846106,0
Freemanvk1,0,1772450,0
korca,24097057425,0,0
chiennv,0,0,0
cyllum,496267688,2265,20673
abhibisht89,1330896288,0,302964650
davanstrien,45210876916,1208435549856,154659273
deepparag,5466767838,0,14198
yannESGI,0,0,6720
qayqaq,452785990,3219120,0
DonJoseValle,0,4530,0
safepaca,3503066654,0,0
pabloga44,0,4156448,0
kamii,28700329033,636341376,0
sergiomar73,0,0,7205566
TahmidH,0,27810128,0
plasmo,126568225889,0,38322
Sejik,23628580,0,0
satjawat,1092308676,0,0
OrionStarAI,397979681022,0,187894
Arczisan,1118690611,0,0
nferruz,6015320326,22518231311,0
shorya24,9778197650,0,10787
glnmario,0,40688321,0
