author,models,datasets,spaces
vinluvie,5751260809,41940833,0
dmitrijsk,78751514,435796,0
timqian,0,0,20422414
videoprojector,0,2290,1816
shutterfree,0,0,2791
acul3,41204742682,595454868439,1440
esencb,7615883131,0,28355
vanessa9178,0,0,7209
lemonteaa,88251922905,58875,8746
wdcqc,11049571062,185886985,3127
JP2004,15921694163,0,0
roxyu99,0,106194154,0
davzoku,124332522472,0,0
toughdata,8869354541,60946474,0
katebor,0,11366,6866
TornikeO,47797017358,61118143,63331276
hle2000,1347718967,165626165,0
kamiyamai,0,0,34337
wannaphong,37054911897,1583133726,1832
pytorch-layout-generation,23403777,1021113,66124
toastedshibe,2680853671,0,0
qisan,2371144838,0,26568
zhou-xl,2261858128,0,0
ElenaRyumina,168002536,0,2121033
kedzkiest,244504736,2307,0
rasyidf,1498,288807628,1159430162
jebcarter,77365852782,0,0
arslan-ahmed,0,0,132036
SaylorTwift,5632419820,75351476823,0
jarod0411,20741419486,2784412541,0
p-conscious,1519,579862,0
Thebull,0,0,86629
soumak,0,1583051573,0
KBlueLeaf,164462525614,1681958843963,0
JayRaghav,0,0,2167
Wassim,0,0,5943
hanamizuki-ai,1483862722,204219235752,0
tonyassi,2502675244,7628399152,2355769799
we1kkk,18188706141,0,0
wndknd,79020932082,7020203,0
abilashnair,1596382,74376,0
viethq188,77802104683,210660500,0
NOVA-vision-language,27394317999,0,0
Obrolin,14484417262,0,0
fschramm21,0,0,3929250
neophilya,2954,4467899,0
JeffTao,0,0,811592
2ch,2126777903683,3732154391,35737
adityasihag,4027611659,632029691,0
laurens88,1083346513,71444,0
xverse,511547597498,0,0
padmanabhbosamia,0,0,802836620
sauce1337,113493017665,0,0
chrishayuk,0,16332,0
PrathmeshZ,0,0,6569
DidulaThavisha,328806382,27353,0
bullmount,3820610243,44650371,0
malloc,754918832,0,2775
debayan,0,0,795479
jcgarciaca,584478959,0,0
SSoudamini,0,61041,8573
Firefly777a,1173,0,149528
traversaal-ai,49051074615,0,3593
0sunfire0,854026967,2089211,0
Harsha86390,0,0,5774
dpasch01,2192538334,13940568,0
fliarbi,27063425715,0,0
ZurabDz,3021220798,15681574378,2329
shravankumar147,0,0,47906978
kenkroft,0,30636633,0
Uday007,0,0,460982741
Dongjin-kr,4501489879,0,0
yolo12138,220266869,0,1019301
Rewrite,0,0,58155625
spsither,57128132194,101096765992,0
uw-hai,1009401939,0,0
akiraaaaaa,1477,0,2917286677
jisrf,0,2265,0
LLukas22,17230626800,7408775662,0
Natet,5640302040,283361888,0
tiagoblima,53927312096,325884627,0
leey4n,0,120502366,0
saurshaz,0,0,3327654
Jonathan18,65895377223,0,0
sai-shashaank,10964300063,0,0
helboukkouri,2188204137,0,0
jmpinero,0,8124895,0
alwanrahmana,0,5254869,0
Uvini,0,0,1704993
ZihaoLin,0,47201,0
matmatmat1,21922663896,0,0
Abubakari,1703902536,0,149987585
CCRss,11060984023,4991148145,0
marmalade,18392103,0,0
albertvillanova,207010780,12040773435,29466722
HSiTori,13616125536,710810,0
ariciano,7369791139,12934283,0
mlnotes,737986654,0,1830068
sahajrajmalla,1158912056,0,0
hearmeneigh,495231327333,2738214315034,0
Leonlav77,5614119284,14434389,1819
adorp,1519,0,104293
xhyi,28290436250,0,0
maji,1552,1174,0
Bready11,0,0,1906
kmfoda,96921037747,963785235,181310671
alandavidgrunberg,0,0,744752
jmoy2309,1384,2126,0
henryscheible,99294990660,7392887519,8078901429
xiaj,777835,103133,0
elizt,0,1889820,0
cass1337,0,0,12594
arnepeine,968991062,537815536,6966
SebastianBodza,55155854928,618278413,0
hhu-dsml,0,24180,0
alxcrypto,41270846100,0,0
jdepoix,0,690,0
warp-ai,48845548569,0,45278972
Randolphzeng,0,4463644,0
ceyda,5119837628,2485251524,31955587
vishesht27,14485815048,0,1948
azsalihu,0,0,227119
Caro-00,14177358243,0,0
enyuan,2674398345,101694216,0
ncduy,9284269712,617047287,3383
MarvelBoy047,0,47836,0
AndyChiang,12137408465,20826802,0
Cippppy,537570360,0,297688915
wucng,136485008,231241683,0
DhimanBose,2432227744,7146225188,2200
ppsingh,5267332131,44746543,5265
vinceL,0,0,72846
jalalnb,0,4264290,0
senga-ml,3258738951,583008482,35063
mistralai,469448823906,0,0
jihyoung,4306455502,1686092104,0
anonymous347928,0,8484117584,0
AntoineLB,0,9576911,0
Laihaoran,872682722,0,0
zfz,18367421338,0,1931084717
ruizhaonus,136326336,0,0
ApoTro,486307694,0,0
ruboin,0,0,3550295
CosmoAI,0,0,2955601565
Zahra99,13983065600,788718137,0
khangtran97,1519,36606010,0
marclove,106887441492,11684355,0
poojasree2003,0,0,2749
airely,0,0,1882
sms1097,13958563991,29119889,0
mengmeng02,0,0,353316
jonaskoenig,1057480699,15542373316,0
Uremember809,0,0,5837864459
cja5553,1821560413,0,0
keshavG,1217683783,27593730,0
mediscenario,0,0,254259
AlKiir,70247527576,0,0
hizak,529705332,0,0
Francois,0,690,0
CrispyShark,0,40299,0
pelican,2019598033,690,0
Rodekool,0,1299209585,0
gaouzief,0,0,3504
Naihil,70507783,0,0
bnsapa,288121142,90559851,576569638
kirim9001,798927294,512030702,0
graceebc,0,1210164320,0
aswin1906,35326394089,26610457,0
lmsys,365090926241,1592755370,75434992
zishuqianyu001,0,0,6746709
ilarrosa,0,3628,0
MYX4567,1555537986,0,0
comet-team,0,486990783,330293718
YeisonD,8831883487,0,0
cagrigungor,0,67595,0
bhattronak,6655770025,0,3757
kfahn,22524215589,693814703,35122297
TNK21,0,0,11332
zerxoi,1057970075,0,0
samrawal,6182487373,0,0
NousResearch,3647525376562,145088,168198
dominiqueblok,498953069,0,0
evanarlian,2983171805,26119158712,0
lijiacai,888754647,0,929085
RamzesIII,4358762271,0,3625
omartine,0,0,2786672
chenghao,0,31345594659,0
yaneq,17016172525,0,0
YuFuji,0,0,5498
EdwardHiscoke,0,0,46989968
Raj086,0,0,2759514361
ushikado,2715391243,0,0
abdulmeLINK,0,0,7958
Mayaru01,0,2291,0
rdcoder,182533149792,36411073,0
Khaled27,0,0,781105956
lisawen,0,13571,0
UltraMarkoRJ,0,0,725219
georgescutelnicu,0,0,314633053
dorkai,12134076,0,21440826
chandraReddy,0,1854089,0
AmilaUvaz,288560343,0,0
antoinelouis,10951173059,0,0
lukaSlingshot,10633,199456,0
Xilabs,28230750552,1923860702,0
parthar97,0,0,11832
lain-iwakura,0,0,6001
Dahoas,815133422967,45563805210,0
artfan123,44795909,0,130785195
Luyu,3676045821,0,0
ValdoLab,368407519714,0,0
talaa,0,0,16390
idajikuu,6515766980,479781790,0
c-demartino,26958070462,90529583,0
AIBunCho,12102723622,0,0
cwtsam,0,0,426822986
Akash7897,1485664595,0,1403
berfinduman,1931092076,1081620,0
Galuh,46276962783,0,0
xianbao,16975115727,53768259,3925698
nikcheerla,5706596864,0,0
PJM124,5602396315,0,0
alessandroaere,46920659,0,0
firmanpraa,0,0,1815
LisaBott,0,0,34915963
cmaldona,0,4963664,0
MarkP1929,7256023191,0,0
FoodIntake,0,182955914,0
ssheng,24263968,0,0
PYTHONOPTIC,0,0,3434
EAST,819094502,47376,0
birdhouse5,446919470082,16861882,0
Worldwars,0,11945,0
api19750904,4191293906,39972547,0
SAAZIZI,0,0,33779
icoxfog417,0,0,5980
ryanramos,1102855,7363910290,0
sudxiaohan2,0,0,64878923
nanom,9891720145,2751750723,2782394320
Cartof,0,0,9811
Udayy26,9801846338,0,0
Saurabh4509,0,270296,0
mtalrefaie,0,59767638424,0
mostro3000,0,0,1804
lingyit1108,0,0,426149219
sagui-nlp,669303119,0,0
evilback,369145050,67549,0
Jesse-Mach,0,0,12980
NicolasVana,0,0,344476466
Lennard-Heuer,0,242224,0
jganzabalseenka,0,2534900266,493711
vanshtyagi203,15582821514,0,0
duja1,122806584192,0,0
Yash21,144016575060,0,0
epts,5070353435,360394230,7589
Hobe,0,0,3733
it-at-m,0,8154398,111276580
Euclid,0,15757,0
Atul790,19600417,21761200,0
Waynehillsdev,16623356060,0,0
nippun,0,2290,0
motionsh,1278177988,0,47061
TheSeriousProgrammer,0,1200806235,1799
JinuAugustine,19041667824,344040,0
AlexMo,1937907397,0,11598
rmoks,74296286,0,0
Alashazam,1510,0,6196
lighthouse,563252252,0,0
perilli,343276689,0,4918707630
marshmellow77,10247735841,15465389,65147
faisalhr1997,213138123502,2603,54934746
manavisrani07,1519,0,962949113
pmarar96,603122524,0,0
MindSyncAI,0,0,1823916806
Antraxas,92335749153,0,0
scvi-tools,28916064005,528372,0
osazuwa,9553679301,133050834,0
hanruijiang,0,767374212,24098
Mitradn,14169136276,0,0
suriyagunasekar,2345159,58807645416,0
vukrosic,1477,24888039,0
Knowles-Lab,0,0,35491157
nntadotzip,3207425204,5471376,0
sronger,55465131975,0,52008
markytools,441656004,118598213649,15941237
shreyasharma,1365424174,9579509,0
sanctia,302873355,6340764227,0
stringbreakercolab,8862,2265,1713
NikaA,501201926,2126,0
Habeeb13,9804185547,0,0
Uncleming,0,0,5783
Deevyankar,0,0,503936101
caichunbing,0,4991247402,0
shhegart,0,0,52875333
Sumsub,2420706273,0,2420910827
DanielPinsk,0,0,9629
bitcool,0,0,14051
joweyel,1174771462,3171101,0
thingthatis,360091006807,0,0
wanghaofan,406880005,117518807,0
PierreSHI,0,0,386015061
TehVenom,716405279001,0,0
tyang816,14003279328,6639544400,0
forrestfwilliams,0,0,11794
BNNT,28290714996,3827498779,0
mohsayed,0,0,8591
sidharthsingh1892,13478824620,1215532,0
TuringRM,40383405825,0,0
yelpfeast,1198621598,0,0
yuekai,69258437985,51621111357,13129273
imxly,7441817712,0,0
rccmsu,28096155568,0,0
Beinsezii,36577376,0,0
Snb-ai,0,0,20890
fnlp,465165245441,19052941721,0
qfortier,173074105,690,0
rafayqayyum,0,0,84107798
DanArnin,0,31268583,0
KunalSinha2024,0,0,4925
Kameswara,1577,0,26219
saillab,29046039852,21032046644,50462453
joseagmz,305367065038,67306395,28183
JonasGeiping,1061359311,57167578307,0
kiluade,52615047230,9841273252,0
eclipsevortex,3634644963,0,0
dereknight,0,0,15938020
adambuttrick,4951045289,2843105013,0
lintang,836870107374,4985,0
QINGCHE,409206508,0,412588081
dibend,0,0,28567
asimokby,3074120190,0,30582
onereal,557616841,0,2426171395
royam0820,24949767664,704714,1780
pranay02,20097728419,0,0
samchain,1856897710,7017523568,89709412
elvis92,1137854281,0,0
ashW1N,1519,2173716,0
dheeraj-kj,244497139,0,0
czwQAQ,0,0,114012
JhonVanced,12363631392,0,0
tgohblio,2742213642,0,3759
carted-ml,488794776,336668,0
eckendoerffer,0,11539031035,0
udg,251379705247,0,0
sebastiandizon,53907444814,9145277823,0
Testingdoang,0,0,2444
PiyushLavaniya,50816224910,38713141,10523
Guilherme34,176339993223,387334146,41909
Tomoniai,0,0,128160
showlab,69295983334,0,293581
DanielCL,0,0,47308907
alinet,2796673626,228359497,0
Promptengineering,0,0,1836
matheusopp,528935397,0,0
Heshwa,0,0,569645284
sidhq,0,13600539,0
HLasse,0,0,20902
AlexaAI,0,386952223,0
santhosh,3185470831,1407582048,14778
avengers27,0,0,80752
Ajaymekala,0,0,4539
luodian,310088514977,0,280497
lilaspourpre,7387324518,0,0
natnitaract,0,69825987475,0
Spiderman01,79026183942,1862155,0
Zeelubha,0,0,13459627
Alegzandra,3192494379,20038182,0
LavanyaP,23505547,0,0
hakonmh,535869762,0,0
haonanzhang,0,0,880697
Meitryx,0,0,0
jrd971000,53821062,0,0
Xiaini0,0,0,1108
Krisbiantoro,46423483715,0,0
manpreets7,9335181075,0,0
krinal214,9376079053,210033458,0
khairi,875976465,125008360,0
bowwwave,529150350,0,0
arjundutta10,0,0,5054
gabrielaltay,3148956592,171325138058,0
mystgg,5035992154,25726744,0
pvrancx,0,13152347588,0
danielsteinigen,4506006493,1036857,283959
johnhelf,0,0,95341
kenpeltzer,0,1207246,0
aehrc,4062774527,0,0
prathmeshrmadhu,166770675,0,884056723
KunamVishnu,0,0,2958
AshtonIsNotHere,25660270405,27227226333,7161255961
neuralworm,2011629454,602770952,11946
IndicNLP,0,0,4779
ShrapTy,0,0,4212874944
geraskalnas,0,0,3748777
ahmetbagci,999036537,0,0
Joespilot,8197779750,0,0
quangcodecode,1666776250,0,0
AgProfile,0,0,24316
bond005,44138779536,35586466996,0
alexcadillon,597329668,9135732,0
MykolaL,8053560304,0,8640689645
SpeedOfMagic,0,8277495,0
wikilee,0,2545670717,0
lampongyuen,0,0,59786865
jdvakil,0,765125778005,0
ssbuild,102594766452,24179828910,0
ming-yang,561818776,0,0
din0s,23110914377,2456018512,0
Asad900,23402820,0,0
regisss,466405961200,223350494,0
anilguven,6188561556,97029121,0
MarcNg,1122783986,0,51766
Henil1,4524086092,345427204,0
ChatGPTZeroDayAdvancements,0,0,21852
shanhy,144118898614,0,0
hiennguyennq,0,914425087,0
whoispanashe,0,2271327,1969
junjuice0,49818715128,119659989520,0
dcrey7,23402822,0,0
ombhojane,45348970,350492,3877896
Oxel40,969004148,0,15111
Konthee,12362375193,1286510421,0
yukkzer,0,0,1784
Aless-98,74296436,0,0
artek0chumak,7070853218,0,0
khushalmaknon,3645470593,141551310,0
huypn16,0,5457599,0
shivanandmn,109347646,967269,0
arunavsk1,436604036,0,6819
SamPIngram,1493093141,1793969,0
SneakyPanda,1987305690,0,0
hkunlp,117775803690,0,8973399
HarshithNLP,894075021,0,0
jeffyang123,0,0,552318
sharathraju,0,0,237333
Panchovix,4036172923817,0,0
HuggingFaceTB,6969481379,99173739014,4548
Thedon97,0,28611,0
Docfile,244502135,0,195815437
pranav-s,934033466,0,0
EvanMarie,0,0,635183705
bionlp,17433359898,0,0
tonne,925072,1594,1508561
thoucentric,157331795,0,525613017
ddosxd,51328681457,0,531495357
ONS-AI-RESEARCH,429491319568,0,0
IsaacZhy,1864160408,0,0
Invincible,1960215947,0,0
ja-818,0,0,2202098
OlegKalyta,0,0,49899590
roskoN,0,4231880411,0
zingraphics,8539513219,0,0
kings-crown,46796303596,6245839,0
WZUN666,0,0,1865731105
buzzChukomi,0,0,6565
Sohag1,0,0,11947
rossevine,70242688248,7683906801,0
ericntay,9256268237,0,0
superb,16734743413,7198701547,0
aiEDUcurriculum,0,0,116833
tsinghua-ee,770717331,0,20383607306
pytholic,343617120,0,285404019
sahinbatmaz,6383316079,0,0
kimelyle,21266323075,0,0
hieungo1410,1449270492,0,204744
mu0gum,65392605091,0,0
purdue780,0,0,50012
AgntPerseus,14356247111,5134497,0
rishabh2322,0,0,88851
thisisHJLee,74866584927,2042797,0
juntsu,0,0,3788
sixsixsix,0,0,2804
Plashkar,513101,18889971,4908
hiiamsid,271511456790,0,0
eengel7,969621323,2105650,21872
welp234rt,0,0,4626
mauricett,0,99234565526,0
Darshan-BugendaiTech,0,0,14561
ngdiana,1728440391,5747240682,0
jetaudio,8494568682,35606538494,0
Srini99,2261913368,1987395,0
JackismyShephard,1962319962,53771277660,1862984
CASIA-LM,144057744041,2180011517877,0
rashisinghal,0,0,11752
abdoutony207,18002380229,770898,0
woctordho,623348340,46692194451,0
jayanthrahul,0,0,37868
guymorlan,3011275415,0,47725
Sifal,4626548338,18185348,363484380
THEODOROS,5209,112700415,0
HenryNavarre,1550,0,118414125
Jonnylaw,3158591218,254478,1817
MyMild,852640324,0,0
resist,1193,1566,0
jsr90,0,0,701039
tsakicky,4533333504,473478492,0
gabrielwu,0,2096058,0
DTU54DL,7474,75227790945,0
frgfm,1752782805,4005939,34244
jkruk,10294718891,1135116427,0
mariosmsk,0,0,94689
uahmad235,1502948350,0,0
ahmedrachid,1758134943,0,0
yimingzhang,14487799497,409366512638,0
ducnapa,87891041641,0,0
RashidNLP,6702749978,0,0
TownsWu,651743212,0,0
Zulqrnain,0,0,893430752
t1annnnn,52764014,20041593,0
AlixCF,1173,1586,0
Yash2998db,3526,8043,0
hhhhardman,0,0,1548321353
Angeldahal404,1824156922,0,1875
aswinkvj,0,0,8003822
xinyangli,98779752,2765525662,0
dropxone,0,0,1098195061
ai-guru,105940867,0,266941
Grezz,0,0,2368553459
bakhitovd,2081021980,1103895351,0
kukr3207,0,0,37443326
iriscope,46332940690,0,0
nmfasano5,0,0,16060730
Nattylegit,3038,0,40237
levuloihust,677818311,1800781874,0
LIDIA-HESSEN,0,123696925,0
hoangquang27,15037594300,2350422296,1753
James-WYang,26475351659,0,0
Tensoic,117312247497,4421252677,0
yangban,0,0,47283216
RafiulCV,25757349184,0,0
linuxinet,0,0,196855
sq57,0,0,2819
MusicUtilisT,0,0,89979
krystian-lieber,0,0,24483
kaushikacharya,890820512,18434776,0
universalner,0,163326438,0
grostaco,0,0,1322744756
CCMat,39119274640,278834163,0
joislosinghermind,19053137,0,0
ScottRobertsXR,0,0,5775403
rays2pix,960460975,1380,0
Murple,758002269,46906,0
formulae,26958625231,0,0
sanjay11,0,0,20741
ghomasHudson,50514200871,37682119984,0
nr-rofiq,0,0,639459
jkcarney,28048661132,0,0
HoangCuongNguyen,5506525453,3227478,0
fotografomedellin,11880980072,0,0
daniel2588,0,263842140,0
lobabobloblaw,7767306136,0,0
bleugreen,1431409952,64089825,0
Manzoor22,0,0,1802
xiaozhou0822,17804,2328,11309
Ishwar,0,3411141,0
12345testing,175544695,528338,0
Swindu,0,0,1787
Warvito,0,0,2268245520
ramammurshal,0,0,190219
prabhjyot,4703281,15272690,0
cjvt,8005460846,389494,0
benmaor,0,0,687120060
inkoziev,10688134099,141233296,0
basakbuluz,0,0,6260
shahules786,7113602751,2448984509,1754
marup,0,4474324045,0
HariniMaha,10048142807,0,0
inductiva,0,7221,0
prajjusy,5582040093,0,0
lim4349,2461546187,108851544,0
Yuichiroh,0,0,57960244
bbunijieun,483469474,0,0
nfaheem,35951245132,0,0
atorsvn,6420282093,0,0
j-jhnsn,0,0,722220219
dpang,0,0,11835
kavinilavan,580488753148,1973945,0
SydigiAI,167838994,0,0
Wajid333,429628015,0,0
genezyp,0,339612,0
shao,4700,3134,1375
mouleflip,23458885,0,0
iksenburg,7746039401,0,0
jeonsworld,173159798032,0,8212
Adnan,690,690,56526
EXPOSUREEE,0,0,2147152
FriezaForce,26954311249,14787467,0
singletongue,0,10298,0
ntranoslab,0,0,1347368459
MarcosAmaral,0,0,2438
alperiox,19224188482,2493187,0
MFRocket,0,4360474,0
rocifier,75785748,0,0
CarlDennis,1504,0,993961475
esb,96151179200,0,9772
Anand8078,0,25907,0
ajders,54320517,7282809,0
gokceuludogan,2919336200,0,27843
Mediform,20428946861,217857146,0
3i2irg,0,0,185156376
SkAndMl,611578939,3934455,0
kaleidoscope-data,0,0,27120
Karan123penguin234,0,0,1872
TheUpperCaseGuy,592931018,0,52762798
IcelandAI,0,0,14800
hails,51945880163,3343896216,0
staka,441363816,0,0
arthurmluz,12528305863,487536878,0
spleentery,0,270155588,0
thekubist,1540,0,7280
RishShastry,0,0,87978405
raoulduke420,11044443270,3218028443,19187704820
menadsa,1592617976,0,0
dgnk007,1503518975,0,10070
chandana-upadya,0,20186311,0
verystochastic,1498,2286,0
batubayk,999773559,1546924773,0
niksmer,1500434426,0,0
neerajnarwal,0,541605,1764
Akaherz,23469902,0,0
librarian-bot,0,834005,8539
bhaski,7369725725,0,0
athirdpath,4426894252000,83596087,0
Vaibhav-vinci,0,0,53407
cryptoanonymous,0,0,1708
loaiabdalslam,0,3063784,0
ZenMoore,0,471384095,0
Transform72,13478825243,0,0
IIconic,0,116994,5266
tndklab,51723834040,0,0
GiladtheFixer,6613,0,5841564
ahmadawais,0,0,33091
martinsinnona,41894216290,8321572,0
Wanfq,3010288598626,8837595145,0
kaushalpowar,155648557489,0,0
yehezkielgunawan,68189,0,1336473
yutaozhu94,50307905780,4408214324,0
krystv,19832164285,0,0
colornative,0,0,20506068451
sumet,5656995902,0,267701
Gladiaio,22148119616,51717436,15866985
batuhantosun,0,0,716766
olivianuzum,0,0,5860044
bell-tommy,0,0,1818
HHazard,120406199703,172901,5445
TJUNLP,0,11033,0
Marian013,0,0,416470
clementgyj,1363965755,152179,499888493
MyneFactory,93696474378,639190575,0
vijayprakash,343920867,0,7688
Jason976,26759534854,0,0
MaziyarPanahi,29120803717421,0,0
aai198,0,0,22661
mammut,0,520665204,0
melaris,117622701402,2307,12651
Ikaros521,1505,0,10092277128
ukeeba,87532782905,0,0
adilgupta,442395541,1741698,0
hanzportgas,0,0,3965188873
f-biondi,0,334208376,0
wy213,0,0,1526360
chebao,54438859760,2291,0
Vipitis,25142397626,291666627,6983704
KinarDahal,707149918,0,0
ashishraics,1747301059,0,2122451749
jnferfer,1307482695,882770,0
orangepony4,0,0,1821
baptiste-pasquier,1437068871,1036769194,0
doushabao4766,0,242659824,0
zaanind,18578298572,160946934,5307
employelalisa,9801831686,0,0
kssteven,27374835019,0,0
Cubort,4024866385,0,5359
KikiQi,34071597953,13085343,0
formocorpus,0,6631827366,0
tejasnayak25,10049094150,0,47534569
molamin,0,166218320,0
dzung113,539440072,0,0
karimimanesh,3259031321,0,0
fufufukakaka,1041452140,572531,1928
abdalrahmanshahrour,6959327864,549524629,24931
ezipe,1546699850,357821423882,0
medmediani,1856969015,0,10688
RinInori,439269703,0,12791
PeepDaSlan9,2802,15983,21428536947
xrcb,528935270,0,0
fbellame,67172613362,984755,0
paulopirozelli,0,8201365,0
zirui3,7030807090,3873533060,91210919
thisserand,13570070639,5129103069,0
gunghio,1674045342,0,0
toddmorrill,0,15522418,0
yadapruk,1338,13097444,6357
Winterflower,0,0,1735
shengzi,0,0,1182605
amu-cai,19248411130,27789135212,0
kalebu,1194,0,131966
Lathavya,10048431551,0,0
Kokoboy,4600478461,87129070,0
MS19,0,0,87580404
robingupta,0,0,3757
jansas,10328996458,0,0
Maxx0,300986845,1586785978,319688
power2,348635657,0,38597989
amarkc,0,0,2510
Shinyduo,0,0,47076444
gisohi6975,0,0,0
dinhminh20521597,0,0,6660457
Keenlol,87632607,0,175704844
ongkn,1017901273,0,333745818
cowboyonmars,0,0,7415
aipicasso,138440609390,0,59412164
Tidrael,537649084,9518,0
Margerie,1547,0,11485
Ajaxon6255,0,0,22304
rodevel1978,0,0,24190
Huyne459,0,177548640,0
elenapop,0,0,18742856
tmdduq,28969279195,0,0
averyanalex,6286881837,1174,0
masterzer0456,0,0,21268
yunaissance,457442526,0,0
shellypeng,74190469,3608771482,512115
madaanpulkit,532980132,568150914,0
AlexZou,0,0,951316086
IbrahimAmin,654452648,0,0
Kon3000,130156718,0,0
Akshitha2706,19603782002,0,0
onefish51,70957634,0,0
JoseArmando,0,0,1242359689
sokusha,0,2308707524,8776
UCSC-VLAA,70159878682,0,0
danielabed,501401388,0,0
Vikas1994,0,0,8512
demo-org,92122,4755418,2185
Allen166,0,3323792,0
nxnag,1744236956,0,0
alexpaun,8585784812,0,0
umair007,4098469260,0,55835
Aki004,0,0,1873903992
colakin,0,0,93175637
TomatenMarc,2704150118,0,0
Ertoip,5483075879,0,0
Elaina617,125207427499,61688152,0
dawggydawg,1764,0,5659
jaimin,51021348176,4637377181,150393366
RishabhM,2656999549,121701,0
Ifeanyi,535797,0,15409537
blueslmj,0,0,811592
filio,0,0,7447
MeowZM,372579670,0,0
axolotron,7778311170,0,0
liuyuan-pal,0,0,9069681745
MK-316,0,0,22957231
Kajise,14852,0,32600
tomas-gajarsky,2378457,38343,1340539
lc-col,543465,145811729095,0
Magner,0,4498080,0
shaneweisz,2895879340,0,9304
osyvokon,4933704593,285479470,288568
banana-projects,0,0,285764411
lkw99,0,0,3514318946
MKaan,713597390,0,713603335
lodeawb,0,2771262,0
xsigus24,0,0,20739949188
busecarik,2356603237,0,0
chengyenhsieh,1547756653,9070799485,0
jxm,170748001435,16305312065,0
manojgadde,0,0,2414
Z0Victor,8585786306,36011,0
prit1205,0,186023789,0
deepdoctection,7411582835,289634950,1494885
akarum,1304798880,0,0
loiccabannes,1886882713,0,0
Roudranil,0,20237170,0
AndrewTsai0406,854304590,37171300399,8254
cobraxx,7369725916,0,0
gdario,1132996757,0,0
RUC-DataLab,571149952,195522608,0
nicollecnunes,996664143,0,0
yuxindu,0,0,1784159950
caisarl76,497514580949,950223,0
WhisperAI,0,0,12833014
Albe-njupt,6347176485,6750152,0
nicholasKluge,160501055615,84192155669,366482521
guibvieira,26997430,0,0
leemeng,94465889537,217447844,13467
SRankChatGpt,0,0,77160213
yyjjtt,4406774762,0,0
rstallman,0,0,868691637
okho0653,6761463751,0,0
google-bert,58650428995,0,0
Ron0420,0,0,157631386
reaganjlee,0,30496789,0
celinelee,5549941952,5075769785,11995
johnsmith007,122543767239,6395970,0
luerhard,1343982065,0,0
rkareem89,0,0,3433
eleldar,10922978481,125673380,0
falcondai,0,0,17219567
onezell,10242592483,0,0
aniket,0,0,2764
student,27592228,2340536298,0
Rafamele,74296197,0,0
llkkyy,0,0,58155588
Isma,12878642164,2559063734,0
chanifrusydi,2109115225,0,0
noah-ai,2334021489,0,0
Didier,529150342,0,0
ieeecsuna,0,0,826455
ThomasEgense,78240869739,0,0
aegnor8,0,0,5539
brezzeeee,733543732,0,0
djrana,5924,0,85631
farhan2206,9021601007,0,7240
CurtisBowser,3406952945,0,0
miguelvictor,20639178038,0,0
CM,0,2555827944,0
MercurialAi,0,0,517634535
Learner,5780840568,0,15030
causalnlp,0,2325226130,0
09panesara,268576117,0,0
MrOvkill,6237542055,2335,679594
LiYuan,9286984798,0,0
sander-wood,3033338156,579050321,10903749
DShrimp,0,0,209312874
baran-cengiz,74294725,0,0
alvanlii,37262974394,0,2987025380
federicopascual,1611446723,0,1393
seungheondoh,8163702143,1865869781,39073
egesko,94981,0,15951087
KOFTRFU204,0,0,743331
cadige,0,0,7767443
middha,0,0,10797365
AadithKumar,10047930668,0,0
PleIAs,14485824384,760648400303,0
shivi23,21983748237,0,0
henri28,1467160178,3376408,0
JonathanLehner,2652,0,13529
Aristo,2916664,0,2917049
cvlab,46398070101,0,16624475956
ikshitijsharma,23402856,0,0
ljsilverstar,449347435,3391285,0
Ukhushn,1166175974,20430424,0
maurypb,0,0,6697
Milos,3980355485,0,0
Akira12312,0,0,3586
alexthomas4,166543057,1930434370,0
supermario,0,4802224458,0
Mansooreh,0,1626053,0
LanguageMachines,143081341240,0,0
TuringAgency,0,0,293319
Rehman1603,0,0,425469827
ServiceNow,0,6514082134,0
neelblabla,26958155276,13602031,0
taidi,0,0,2776
sritang,0,1689794,34269823
orpatashnik,0,0,1126605
valerizab,556929177,0,0
KK04,0,7593365,0
samitizerxu,34127735568,7836755545,1716
turing-motors,415813241333,0,85424058
sensahin,0,0,11800
karawalla,224892456399,748925,3594
mnemlaghi,0,46598806,42553236
SpartanLines,0,11711,0
MarkuzML,0,0,688277716
michaelwja,1477,0,331863614
sweetpablo,26995855101,0,72306588
ghunkins,59593129340,0,0
may-ohta,2819367704,90165170,0
almakedon,0,0,3567577
MaryCarmenFC,0,105839,0
buildingai,0,0,3517
ashishtanwer,2132795905,455256,2132816355
Den4ikAI,111610134420,11839776374,3055
guirnd,534359023,0,0
breakcore2,4777855301,1358716583,0
comodoro,13663275858,15186203023,531578724
qwerty8409,268534487,64548,1758
Kessel,0,3347707,0
Future-Tense,0,0,11279
iamkb,0,0,813793
Nielzac,859001083,9005993507,0
Lam-ia,0,21898894,0
Maxixa,425473243374,0,0
Kunal7,0,0,4404009
ThirdIringan,0,0,53661
axel98,40436485431,5577021,0
peeper,17166587243,2552346786,0
enricai,92283572705,0,0
Chinar,0,172058874,3451670
camus-ng,649215234686,0,0
PixelPerfect,9581979010,0,0
NTUYG,12153164415,1900171,0
jobpilot,29585236,2636103,1767
woshixuhao,274996305,2333,278599109
Skysaxon,70532015,0,0
hita,1173,3331742,0
Dytorch,10490350594,0,0
CyberPeace-Institute,7067787295,0,78177973
