Model,Accuracy,Cross-Lingual Consistency,AC3,English,Chinese,Spanish,Vietnamese,Indonesian,Malay,Filipino
Meta-Llama-3.1-70B,0.6241883116883117,0.5274350649350649,0.5717473426837402,0.7386363636363636,0.6306818181818182,0.6193181818181818,0.6079545454545454,0.6022727272727273,0.625,0.5454545454545454
Meta-Llama-3-8B,0.4569805194805195,0.25519480519480514,0.32750096946546897,0.5340909090909091,0.5284090909090909,0.44886363636363635,0.4602272727272727,0.38636363636363635,0.44886363636363635,0.39204545454545453
llama3-8b-cpt-sea-lionv2-base,0.4553571428571429,0.2600649350649351,0.33105611198328916,0.45454545454545453,0.48295454545454547,0.48863636363636365,0.48295454545454547,0.4431818181818182,0.45454545454545453,0.3806818181818182
Meta-Llama-3.1-8B,0.4586038961038961,0.28230519480519484,0.3494794808137755,0.5056818181818182,0.5170454545454546,0.4602272727272727,0.4943181818181818,0.39204545454545453,0.45454545454545453,0.38636363636363635
